Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q8VDL4	ADPGK_MOUSE	reviewed	ADP-dependent glucokinase (ADP-GK) (ADPGK) (EC 2.7.1.147)	Adpgk	Mus musculus (Mouse)	496
P63277	AMELX_MOUSE	reviewed	Amelogenin, X isoform (Leucine-rich amelogenin peptide) (LRAP)	Amelx Amel	Mus musculus (Mouse)	210
Q8VCT3	AMPB_MOUSE	reviewed	Aminopeptidase B (AP-B) (EC 3.4.11.6) (Arginine aminopeptidase) (Arginyl aminopeptidase) (Cytosol aminopeptidase IV)	Rnpep	Mus musculus (Mouse)	650
Q3TMQ6	ANG4_MOUSE	reviewed	Angiogenin-4 (EC 3.1.27.-)	Ang4	Mus musculus (Mouse)	144
Q8R1L8	ANGL8_MOUSE	reviewed	Angiopoietin-like protein 8 (Betatrophin) (Lipasin) (Refeeding-induced fat and liver protein)	Angptl8 Gm6484 Rifl	Mus musculus (Mouse)	198
O08538	ANGP1_MOUSE	reviewed	Angiopoietin-1 (ANG-1)	Angpt1 Agpt	Mus musculus (Mouse)	498
P11859	ANGT_MOUSE	reviewed	Angiotensinogen (Serpin A8) [Cleaved into: Angiotensin-1 (Angiotensin 1-10) (Angiotensin I) (Ang I); Angiotensin-2 (Angiotensin 1-8) (Angiotensin II) (Ang II); Angiotensin-3 (Angiotensin 2-8) (Angiotensin III) (Ang III) (Des-Asp[1]-angiotensin II); Angiotensin-4 (Angiotensin 3-8) (Angiotensin IV) (Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4]	Agt Serpina8	Mus musculus (Mouse)	477
P40753	ANFB_MOUSE	reviewed	Natriuretic peptides B (Gamma-brain natriuretic peptide) [Cleaved into: Brain natriuretic peptide (BNP)]	Nppb	Mus musculus (Mouse)	121
Q8R1Q3	ANGL7_MOUSE	reviewed	Angiopoietin-related protein 7 (Angiopoietin-like protein 7)	Angptl7	Mus musculus (Mouse)	337
O35608	ANGP2_MOUSE	reviewed	Angiopoietin-2 (ANG-2)	Angpt2 Agpt2	Mus musculus (Mouse)	496
P32261	ANT3_MOUSE	reviewed	Antithrombin-III (ATIII) (Serpin C1)	Serpinc1 At3	Mus musculus (Mouse)	465
Q8K209	AGRG1_MOUSE	reviewed	Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56) (Serpentine receptor cyt28) [Cleaved into: ADGRG1 N-terminal fragment (ADGRG1 NT) (GPR56 N-terminal fragment) (GPR56 NT) (GPR56(N)) (GPR56 extracellular subunit) (GPR56 subunit alpha); ADGRG1 C-terminal fragment (ADGRG1-CT) (GPR56 C-terminal fragment) (GPR56 CT) (GPR56(C)) (GPR56 seven-transmembrane subunit) (GPR56 7TM) (GPR56 subunit beta)]	Adgrg1 Cyt28 Gpr56	Mus musculus (Mouse)	687
O55189	AMBN_MOUSE	reviewed	Ameloblastin	Ambn	Mus musculus (Mouse)	407
Q64438	ANG2_MOUSE	reviewed	Angiogenin-2 (Angiogenin-related protein)	Ang2 Angrp	Mus musculus (Mouse)	145
Q640P2	ANGL1_MOUSE	reviewed	Angiopoietin-related protein 1 (Angiopoietin-like protein 1)	Angptl1	Mus musculus (Mouse)	490
Q9R045	ANGL2_MOUSE	reviewed	Angiopoietin-related protein 2 (Angiopoietin-like protein 2)	Angptl2 Arp2	Mus musculus (Mouse)	493
Q8R0Z6	ANGL6_MOUSE	reviewed	Angiopoietin-related protein 6 (Angiopoietin-like protein 6) (Angiopoietin-related growth factor)	Angptl6 Agf	Mus musculus (Mouse)	457
Q07456	AMBP_MOUSE	reviewed	Protein AMBP [Cleaved into: Alpha-1-microglobulin; Inter-alpha-trypsin inhibitor light chain (ITI-LC) (Bikunin) (HI-30); Trypstatin]	Ambp Itil	Mus musculus (Mouse)	349
Q9Z1P8	ANGL4_MOUSE	reviewed	Angiopoietin-related protein 4 (425O18-1) (Angiopoietin-like protein 4) (Fasting-induced adipose factor) (Hepatic fibrinogen/angiopoietin-related protein) (HFARP) (Secreted protein Bk89)	Angptl4 Farp Fiaf Ng27	Mus musculus (Mouse)	410
P07356	ANXA2_MOUSE	reviewed	Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36)	Anxa2 Anx2 Cal1h	Mus musculus (Mouse)	339
O35298	AOAH_MOUSE	reviewed	Acyloxyacyl hydrolase (EC 3.1.1.77) [Cleaved into: Acyloxyacyl hydrolase small subunit; Acyloxyacyl hydrolase large subunit]	Aoah	Mus musculus (Mouse)	574
Q00623	APOA1_MOUSE	reviewed	Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I]	Apoa1	Mus musculus (Mouse)	264
E9Q414	APOB_MOUSE	reviewed	Apolipoprotein B-100 (Apo B-100) [Cleaved into: Apolipoprotein B-48 (Apo B-48)]	Apob	Mus musculus (Mouse)	4505
P33622	APOC3_MOUSE	reviewed	Apolipoprotein C-III (Apo-CIII) (ApoC-III) (Apolipoprotein C3)	Apoc3	Mus musculus (Mouse)	99
P08226	APOE_MOUSE	reviewed	Apolipoprotein E (Apo-E)	Apoe	Mus musculus (Mouse)	311
Q91V80	APOF_MOUSE	reviewed	Apolipoprotein F (Apo-F) (Leukemia virus-inactivating factor) (LVIF)	Apof Lvif	Mus musculus (Mouse)	315
Q9D3J8	AMTN_MOUSE	reviewed	Amelotin	Amtn	Mus musculus (Mouse)	213
P00687	AMY1_MOUSE	reviewed	Alpha-amylase 1 (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase 1) (Salivary and hepatic alpha-amylase)	Amy1 Amy-1-a Amy1a	Mus musculus (Mouse)	511
Q61839	ANFC_MOUSE	reviewed	C-type natriuretic peptide [Cleaved into: CNP-22; CNP-29; CNP-53]	Nppc Cnp	Mus musculus (Mouse)	126
P09813	APOA2_MOUSE	reviewed	Apolipoprotein A-II (Apo-AII) (ApoA-II) (Apolipoprotein A2) [Cleaved into: Proapolipoprotein A-II (ProapoA-II)]	Apoa2	Mus musculus (Mouse)	102
Q8C7G5	APOA5_MOUSE	reviewed	Apolipoprotein A-V (Apo-AV) (ApoA-V) (Apolipoprotein A5) (Regeneration-associated protein 3)	Apoa5 Rap3	Mus musculus (Mouse)	368
P34928	APOC1_MOUSE	reviewed	Apolipoprotein C-I (Apo-CI) (ApoC-I) (Apolipoprotein C1) [Cleaved into: Truncated apolipoprotein C-I]	Apoc1	Mus musculus (Mouse)	88
Q61268	APOC4_MOUSE	reviewed	Apolipoprotein C-IV (Apo-CIV) (ApoC-IV) (Apolipoprotein C2-linked) (ACL) (Apolipoprotein C4)	Apoc4 Acl	Mus musculus (Mouse)	124
P00688	AMYP_MOUSE	reviewed	Pancreatic alpha-amylase (PA) (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	Amy2 Amy2a	Mus musculus (Mouse)	508
P21570	ANGI_MOUSE	reviewed	Angiogenin (EC 3.1.27.-) (Angiogenin-1) (Ribonuclease 5) (RNase 5)	Ang Ang1 Rnase5 Rnase5a	Mus musculus (Mouse)	145
P10107	ANXA1_MOUSE	reviewed	Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35)	Anxa1 Anx1 Lpc-1 Lpc1	Mus musculus (Mouse)	346
P70389	ALS_MOUSE	reviewed	Insulin-like growth factor-binding protein complex acid labile subunit (ALS)	Igfals Albs Als	Mus musculus (Mouse)	603
P05125	ANF_MOUSE	reviewed	Natriuretic peptides A (Prepronatriodilatin) [Cleaved into: Atrial natriuretic factor (ANF) (Atrial natriuretic peptide) (ANP); Auriculin-B; Auriculin-A; Atriopeptin-1 (Atriopeptin I); Atriopeptin-2 (Atriopeptin II)]	Nppa Pnd	Mus musculus (Mouse)	152
P97802	ANG3_MOUSE	reviewed	Angiogenin-3 (EC 3.1.27.-) (Angiogenin-related protein 2) (EF-5)	Ang3 Angl	Mus musculus (Mouse)	145
P61110	ANRE_MOUSE	reviewed	Kidney androgen-regulated protein (ARP) (KAP)	Kap	Mus musculus (Mouse)	121
Q8JZQ5	AOC1_MOUSE	reviewed	Amiloride-sensitive amine oxidase [copper-containing] (DAO) (Diamine oxidase) (EC 1.4.3.22) (Amiloride-binding protein 1) (Amine oxidase copper domain-containing protein 1) (Histaminase)	Aoc1 Abp1	Mus musculus (Mouse)	751
Q9R182	ANGL3_MOUSE	reviewed	Angiopoietin-related protein 3 (Angiopoietin-like protein 3) [Cleaved into: ANGPTL3(17-224)]	Angptl3	Mus musculus (Mouse)	455
Q9WVH6	ANGP4_MOUSE	reviewed	Angiopoietin-4 (ANG-4) (Angiopoietin-3) (ANG-3)	Angpt4 Agpt4 Ang3	Mus musculus (Mouse)	509
P06728	APOA4_MOUSE	reviewed	Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4)	Apoa4	Mus musculus (Mouse)	395
P51910	APOD_MOUSE	reviewed	Apolipoprotein D (Apo-D) (ApoD)	Apod	Mus musculus (Mouse)	189
Q01339	APOH_MOUSE	reviewed	Beta-2-glycoprotein 1 (APC inhibitor) (Activated protein C-binding protein) (Apolipoprotein H) (Apo-H) (Beta-2-glycoprotein I) (B2GPI) (Beta(2)GPI)	Apoh B2gp1	Mus musculus (Mouse)	345
Q32KI9	ARSI_MOUSE	reviewed	Arylsulfatase I (ASI) (EC 3.1.6.-)	Arsi	Mus musculus (Mouse)	573
Q8BM89	ARSJ_MOUSE	reviewed	Arylsulfatase J (ASJ) (EC 3.1.6.-)	Arsj	Mus musculus (Mouse)	598
Q05020	APOC2_MOUSE	reviewed	Apolipoprotein C-II (Apo-CII) (ApoC-II) (Apolipoprotein C2)	Apoc2	Mus musculus (Mouse)	97
Q9Z1R3	APOM_MOUSE	reviewed	Apolipoprotein M (Apo-M) (ApoM)	Apom Ng20	Mus musculus (Mouse)	190
Q9Z0L2	ARTN_MOUSE	reviewed	Artemin	Artn	Mus musculus (Mouse)	224
Q99MQ4	ASPN_MOUSE	reviewed	Asporin (Periodontal ligament-associated protein 1) (PLAP-1)	Aspn	Mus musculus (Mouse)	373
Q9D2L1	ARSK_MOUSE	reviewed	Arylsulfatase K (ASK) (EC 3.1.6.-)	Arsk	Mus musculus (Mouse)	553
Q7TSK7	ATL2_MOUSE	reviewed	ADAMTS-like protein 2 (ADAMTSL-2) (TSP1-repeat-containing protein 1) (TCP-1)	Adamtsl2 Kiaa0605 Tcp1	Mus musculus (Mouse)	957
Q03288	ASIP_MOUSE	reviewed	Agouti-signaling protein (ASP) (Agouti coat color protein) (Agouti switch protein)	Asip a	Mus musculus (Mouse)	131
P58242	ASM3B_MOUSE	reviewed	Acid sphingomyelinase-like phosphodiesterase 3b (ASM-like phosphodiesterase 3b) (EC 3.1.4.-)	Smpdl3b Asml3b	Mus musculus (Mouse)	456
Q8BLI0	ATL1_MOUSE	reviewed	ADAMTS-like protein 1 (ADAMTSL-1) (Punctin-1)	Adamtsl1	Mus musculus (Mouse)	1745
Q80T21	ATL4_MOUSE	reviewed	ADAMTS-like protein 4 (ADAMTSL-4) (Thrombospondin repeat-containing protein 1)	Adamtsl4 Tsrc1	Mus musculus (Mouse)	1036
P70158	ASM3A_MOUSE	reviewed	Acid sphingomyelinase-like phosphodiesterase 3a (ASM-like phosphodiesterase 3a) (EC 3.1.4.-)	Smpdl3a Asml3a	Mus musculus (Mouse)	445
Q04519	ASM_MOUSE	reviewed	Sphingomyelin phosphodiesterase (EC 3.1.4.12) (Acid sphingomyelinase) (aSMase)	Smpd1 Asm	Mus musculus (Mouse)	627
Q9R001	ATS5_MOUSE	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 5 (ADAM-TS 5) (ADAM-TS5) (ADAMTS-5) (EC 3.4.24.-) (ADMP-2) (Aggrecanase-2) (Implantin)	Adamts5	Mus musculus (Mouse)	930
Q99LS0	AUGN_MOUSE	reviewed	Augurin (Esophageal cancer-related gene 4 protein homolog)	Ecrg4	Mus musculus (Mouse)	148
P58459	ATS10_MOUSE	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 10 (ADAM-TS 10) (ADAM-TS10) (ADAMTS-10) (EC 3.4.24.-)	Adamts10	Mus musculus (Mouse)	1104
Q769J6	ATS13_MOUSE	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 13 (ADAM-TS 13) (ADAM-TS13) (ADAMTS-13) (EC 3.4.24.87) (von Willebrand factor-cleaving protease) (vWF-CP) (vWF-cleaving protease)	Adamts13 Gm710	Mus musculus (Mouse)	1426
P59511	ATS20_MOUSE	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 20 (ADAM-TS 20) (ADAM-TS20) (ADAMTS-20) (EC 3.4.24.-)	Adamts20	Mus musculus (Mouse)	1906
Q68SA9	ATS7_MOUSE	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 7 (ADAM-TS 7) (ADAM-TS7) (ADAMTS-7) (EC 3.4.24.-) (COMPase)	Adamts7	Mus musculus (Mouse)	1657
P57110	ATS8_MOUSE	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 8 (ADAM-TS 8) (ADAM-TS8) (ADAMTS-8) (EC 3.4.24.-) (METH-2)	Adamts8	Mus musculus (Mouse)	905
P01887	B2MG_MOUSE	reviewed	Beta-2-microglobulin	B2m	Mus musculus (Mouse)	119
Q811B3	ATS12_MOUSE	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 12 (ADAM-TS 12) (ADAM-TS12) (ADAMTS-12) (EC 3.4.24.-)	Adamts12	Mus musculus (Mouse)	1600
P97857	ATS1_MOUSE	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 1 (ADAM-TS 1) (ADAM-TS1) (ADAMTS-1) (EC 3.4.24.-)	Adamts1	Mus musculus (Mouse)	968
P59384	ATS15_MOUSE	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 15 (ADAM-TS 15) (ADAM-TS15) (ADAMTS-15) (EC 3.4.24.-)	Adamts15	Mus musculus (Mouse)	950
Q8C9W3	ATS2_MOUSE	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 2 (ADAM-TS 2) (ADAM-TS2) (ADAMTS-2) (EC 3.4.24.14) (Procollagen I N-proteinase) (PC I-NP) (Procollagen I/II amino propeptide-processing enzyme) (Procollagen N-endopeptidase) (pNPI)	Adamts2	Mus musculus (Mouse)	1213
Q8BNJ2	ATS4_MOUSE	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 4 (ADAM-TS 4) (ADAM-TS4) (ADAMTS-4) (EC 3.4.24.82) (Aggrecanase-1)	Adamts4	Mus musculus (Mouse)	833
P21274	BMP2_MOUSE	reviewed	Bone morphogenetic protein 2 (BMP-2) (Bone morphogenetic protein 2A) (BMP-2A)	Bmp2 Bmp-2	Mus musculus (Mouse)	394
P55105	BMP8B_MOUSE	reviewed	Bone morphogenetic protein 8B (BMP-8B)	Bmp8b	Mus musculus (Mouse)	399
Q69Z28	ATS16_MOUSE	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 16 (ADAM-TS 16) (ADAM-TS16) (ADAMTS-16) (EC 3.4.24.-)	Adamts16 Kiaa2029	Mus musculus (Mouse)	1222
Q4VC17	ATS18_MOUSE	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 18 (ADAM-TS 18) (ADAM-TS18) (ADAMTS-18) (EC 3.4.24.-)	Adamts18	Mus musculus (Mouse)	1219
P59509	ATS19_MOUSE	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 19 (ADAM-TS 19) (ADAM-TS19) (ADAMTS-19) (EC 3.4.24.-)	Adamts19	Mus musculus (Mouse)	1210
P38649	BGAT_MOUSE	reviewed	Histo-blood group ABO system transferase (Cis-AB transferase) (Fucosylglycoprotein 3-alpha-galactosyltransferase) (Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase) (Glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase) (EC 2.4.1.40) (Glycoprotein-fucosylgalactoside alpha-galactosyltransferase) (EC 2.4.1.37) (Histo-blood group A transferase) (A transferase) (Histo-blood group B transferase) (B transferase) (NAGAT)	Abo	Mus musculus (Mouse)	332
P98063	BMP1_MOUSE	reviewed	Bone morphogenetic protein 1 (BMP-1) (EC 3.4.24.19) (Mammalian tolloid protein) (mTld) (Procollagen C-proteinase) (PCP)	Bmp1	Mus musculus (Mouse)	991
Q8BHE5	BMP3_MOUSE	reviewed	Bone morphogenetic protein 3 (BMP-3)	Bmp3	Mus musculus (Mouse)	468
P34821	BMP8A_MOUSE	reviewed	Bone morphogenetic protein 8A (BMP-8A) (Osteogenic protein 2) (OP-2)	Bmp8a Bmp-8 Bmp8	Mus musculus (Mouse)	399
P23359	BMP7_MOUSE	reviewed	Bone morphogenetic protein 7 (BMP-7) (Osteogenic protein 1) (OP-1)	Bmp7 Bmp-7 Op1	Mus musculus (Mouse)	430
P07743	BPIA2_MOUSE	reviewed	BPI fold-containing family A member 2 (Parotid secretory protein) (PSP)	Bpifa2 Psp	Mus musculus (Mouse)	235
Q8BU51	BPIB6_MOUSE	reviewed	BPI fold-containing family B member 6 (Bactericidal/permeability-increasing protein-like 3)	Bpifb6 Bpil3 Gm119	Mus musculus (Mouse)	449
P21237	BDNF_MOUSE	reviewed	Brain-derived neurotrophic factor (BDNF)	Bdnf	Mus musculus (Mouse)	249
P82198	BGH3_MOUSE	reviewed	Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3)	Tgfbi	Mus musculus (Mouse)	683
P97361	BPIA1_MOUSE	reviewed	BPI fold-containing family A member 1 (Palate lung and nasal epithelium clone protein)	Bpifa1 Plunc Splunc1	Mus musculus (Mouse)	278
Q8C186	BPIFC_MOUSE	reviewed	BPI fold-containing family C protein (Bactericidal/permeability-increasing protein-like 2)	Bpifc Bpil2	Mus musculus (Mouse)	509
Q6DFY8	BRNP2_MOUSE	reviewed	BMP/retinoic acid-inducible neural-specific protein 2	Brinp2 Fam5b Kiaa1747	Mus musculus (Mouse)	783
P15535	B4GT1_MOUSE	reviewed	Beta-1,4-galactosyltransferase 1 (Beta-1,4-GalTase 1) (Beta4Gal-T1) (b4Gal-T1) (EC 2.4.1.-) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 1) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 1) [Cleaved into: Processed beta-1,4-galactosyltransferase 1] [Includes: Lactose synthase A protein (EC 2.4.1.22); N-acetyllactosamine synthase (EC 2.4.1.90) (Nal synthase); Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase (EC 2.4.1.38); Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase (EC 2.4.1.-)]	B4galt1 Ggtb Ggtb2	Mus musculus (Mouse)	399
Q9Z0L4	BMP15_MOUSE	reviewed	Bone morphogenetic protein 15 (BMP-15) (Growth/differentiation factor 9B) (GDF-9B)	Bmp15 Gdf9b	Mus musculus (Mouse)	392
